commit	val_loss	text_bpb	audio_loss	memory_gb	status	description
50760fa	3.996083	1.150788	6.300895	16.3	discard	dropout=0.0 — audio degraded
5905976	0.000000	0.000000	0.000000	16.3	crash	H2 progressive audio upweight — eval broken (audio_loss=0)
a08075a	3.976652	1.150530	6.225438	16.3	keep	new-baseline: 100h audio, per-row WD text=0.0 audio=2.5
be62469	3.319050	1.183478	0.000000	16.3	crash	100h audio, per-row WD audio=1.0
b2bcd8f	3.980940	1.150495	6.243127	16.3	keep	baseline-115h: per-row WD text=0.0 audio=2.5
6f5d360	3.948361	1.153474	6.087452	16.3	keep	115h audio, per-row WD audio=1.5
658e985	3.927524	1.152211	6.014911	16.3	keep	115h audio, per-row WD audio=1.0
a1953e0	3.895529	1.148833	5.915286	16.3	keep	115h audio, per-row WD audio=0.5
2d90e44	3.872927	1.150745	5.808796	16.3	keep	115h audio, per-row WD audio=0.2
7cacc37	3.988520	1.152363	6.257867	16.3	keep	H2: progressive audio upweight max=1.5
e6c9b0f	3.985361	1.148706	6.275935	16.3	keep	H2: progressive audio upweight max=1.2
275aafc	4.016222	1.154530	6.350127	16.3	keep	H3: gradient norm balancing
4357988	8.309811	3.035861	7.683617	16.3	keep	H4: per-row LR alpha=0.3
d3d4c05	9.316166	3.426479	8.420962	16.3	keep	H4: per-row LR alpha=0.5
6792ffd	0.000000	0.000000	0.000000	16.3	crash	H5: AdaDecay WD beta=0.99
f026452	0.000000	0.000000	0.000000	16.3	crash	H5: AdaDecay WD beta=0.95
30a56c5	3.995238	1.153117	6.278284	16.3	keep	H6: MILES rebalance alpha=0.5
ee8652e	3.976356	1.148956	6.237510	16.3	keep	H6: MILES rebalance alpha=0.8
fa6c913	3.858528	1.152000	5.740910	16.3	keep	115h audio, per-row WD audio=0.1
1b127d0	3.838475	1.151080	5.668296	16.3	keep	115h audio, per-row WD audio=0.0 (no audio WD)
0aa0c6a	3.883847	1.150823	5.851666	16.3	keep	115h audio, per-row WD audio=0.3
cfcaa26	nan	nan	nan	16.3	crash	H5-fixed: AdaDecay WD beta=0.99
14c2fa4	3.866087	1.151338	5.776380	16.3	keep	WD=0.2 + H5 AdaDecay
453cf87	3.883293	1.150717	5.850446	16.3	keep	WD=0.2 + H6 MILES alpha=0.8
a87d526	3.891780	1.155796	5.841590	16.3	keep	WD=0.2 + dropout=0.1
5b652ab	3.860119	1.143377	5.819643	16.3	keep	WD=0.2 + Muon WD=0.2
f9bd777	3.807575	1.142790	5.614513	16.3	keep	WD=0.0 + Muon WD=0.2
cb7878a	3.824941	1.146593	5.651887	16.3	keep	WD=0.0 + Muon WD=0.3
fd3a44f	3.812249	1.147454	5.593674	16.3	keep	WD=0.0 + dropout=0.0
14d77d7	3.808146	1.138603	5.651921	16.3	keep	WD=0.0 + Muon WD=0.2 + dropout=0.0
080d577	3.846132	1.157457	5.645208	16.3	keep	WD=0.0 + Muon LR=0.08
7f14979	3.812866	1.140615	5.653585	16.3	keep	WD=0.0 + Muon WD=0.2 + Muon LR=0.08
8c56404	3.825568	1.143264	5.682183	16.3	keep	all WD=0.0 (no regularization)
acf0070	3.819648	1.143897	5.653376	16.3	keep	best + Muon WD=0.15
f85e2a8	3.824194	1.144031	5.670663	16.3	keep	best + Muon WD=0.1
27a54ea	3.800556	1.140680	5.604419	16.3	keep	best + dropout=0.02
e956d27	3.796650	1.137283	5.616975	16.3	keep	best + dropout=0.0
4b18a69	3.829052	1.142867	5.699490	16.3	keep	best + Adam betas (0.85, 0.95)
54853ae	3.832780	1.147544	5.675318	16.3	keep	best + Adam betas (0.9, 0.95)
0d08d0a	3.824332	1.143309	5.676920	16.3	keep	best + warmdown=0.6
34d6d66	3.834017	1.146620	5.687903	16.3	keep	best + warmdown=0.8
74a73fe	3.834248	1.148412	5.673825	16.3	keep	H8: NS steps=3
035c58d	3.797251	1.139701	5.599023	16.3	keep	H8: NS steps=7
eaeae6b	3.793706	1.136129	5.615170	16.3	keep	H8: NS steps=10
2266c71	3.792379	1.134311	5.624890	16.3	keep	H9: coupled warmdown (WD*lrm)
061a08f	3.813474	1.137907	5.678964	16.3	keep	H9: sqrt-coupled warmdown
aa122cb	0	0	0	16.3	crash	H10: weight-tied lm_head
d63b18b	3.803168	1.137260	5.643327	16.3	keep	Muon WD linear decay to 0
206b6fa	3.805799	1.137652	5.650560	16.3	keep	Muon WD cosine decay to 0
3d29428	3.805937	1.138813	5.641262	16.3	keep	embed_lr=1.0
bfd8aa7	3.800843	1.136730	5.638514	16.3	keep	embed_lr=0.5
f0d93ea	3.799652	1.139863	5.607481	16.3	keep	embed_lr=0.3
a704fc6	3.793473	1.137518	5.602490	16.3	keep	softcap=20
dbad8f6	3.794161	1.136852	5.610580	16.3	keep	softcap=10
18fdb6b	3.793245	1.138801	5.590405	16.3	keep	softcap=30
7ead897	3.812800	1.140301	5.656321	16.3	keep	Muon LR=0.05
4f6ca0b	3.795459	1.136701	5.617088	16.3	keep	Muon LR=0.07
70d2fd4	3.984591	1.194333	5.888354	16.3	keep	batch 512K
b76b551	3.731775	1.119316	5.508643	16.3	keep	batch 128K
625b10c	3.803908	1.141214	5.613016	16.3	keep	warmdown=0.5
e0bfe0e	3.814113	1.141407	5.652007	16.3	keep	warmdown=0.9
fd09d0b	3.861422	1.140243	5.851021	16.3	keep	H3: lazy WD (audio WD=0.5, only updated rows)
775df8b	3.783387	1.133403	5.596346	16.3	keep	H1: freq-proportional WD C=0.5
30f702e	3.791147	1.134835	5.615320	16.3	keep	H1: freq-proportional WD C=1.0
43eae09	3.802564	1.134829	5.661307	16.3	keep	H1: freq-proportional WD C=2.0
a3b5529	3.814552	1.140711	5.659597	16.3	keep	depth=10 AR=48 (wider attention)
c6e29ac	3.896169	1.166480	5.769514	16.3	keep	depth=6 AR=88 (shallower+wider)
46be10b	3.858345	1.148957	5.765621	16.3	keep	depth=12 AR=40 (deep+narrow)
7cdbc14	3.801588	1.136278	5.645191	16.3	keep	Muon momentum peak=0.90
8f81e51	3.830501	1.146177	5.677659	16.3	keep	Muon momentum peak=0.98
b750895	3.806181	1.131880	5.700493	16.3	keep	unembed_lr=0.008
a7ae492	3.829178	1.149580	5.643565	16.3	keep	unembed_lr=0.002
9e2e849	3.782888	1.130965	5.615031	16.3	keep	x0_lambda_init=0.2
9ebdc92	3.781610	1.131988	5.601270	16.3	keep	x0_lambda_init=0.05
ea0b0c7	3.865026	1.152640	5.761113	16.3	keep	GELU activation (instead of ReLU^2)
c0066b1	3.866288	1.152056	5.771056	16.3	keep	SiLU activation (instead of ReLU^2)
7b8895d	3.745052	1.127346	5.494001	16.3	keep	batch 64K
aa909d2	3.738697	1.123520	5.501000	16.3	keep	batch 96K (3*32K)
a7a66e7	3.740510	1.120120	5.536959	16.3	keep	batch128K + coupled WD
01b8221	3.723999	1.118974	5.480351	16.3	keep	batch128K + NS10
96019b4	3.738136	1.122162	5.510242	16.3	keep	batch128K + MuonLR0.07
8ec42b5	3.727491	1.118052	5.502141	16.3	keep	batch128K + coupledWD + NS10
37e1ecc	3.732165	1.120269	5.502353	16.3	keep	batch128K + coupledWD + NS10 + LR0.07
d6072f2	3.731133	1.115924	5.534722	16.3	keep	batch128K + MuonWD=0.1
1b0bc04	3.742291	1.126539	5.490147	16.3	keep	batch128K + MuonWD=0.3
06b10b8	3.731612	1.119524	5.506530	16.3	keep	batch128K + MuonWD=0.15
d4e6bbf	3.758914	1.119663	5.614390	16.3	keep	batch128K + embedWD=0.1
0db6a84	3.819542	1.124374	5.817526	16.3	keep	batch128K + embedWD=0.5
73a9368	3.750451	1.126190	5.525682	16.3	keep	batch128K + warmdown=0.5
6385777	3.733772	1.117866	5.529061	16.3	keep	batch128K + warmdown=0.8
f26afc1	0	0	0	16.3	crash	batch128K + weight-tied (via init)
654f327	3.726631	1.119795	5.484202	16.3	keep	batch128K + embedLR=0.6
bb2d2cb	3.734867	1.120869	5.508212	16.3	keep	batch128K + embedLR=1.0
0d5c7cb	3.730435	1.119053	5.505746	16.3	keep	batch128K+NS10+embedLR0.6
f26c0c5	3.730732	1.119007	5.507201	16.3	keep	batch128K+NS10+x0=0.05
eec4299	3.727555	1.120119	5.485105	16.3	keep	batch128K+NS10+eLR0.6+x0=0.05
4cfd73e	3.735562	1.120326	5.515361	16.3	keep	batch128K+NS10+freqWD
40febaa	3.728435	1.117077	5.514199	16.3	keep	MEGA: b128K+NS10+eLR0.6+x0+fWD
1bced87	3.724928	1.114828	5.518869	16.3	keep	batch128K+NS10+MuonWD0.1
720806c	3.716762	1.113566	5.496798	16.3	keep	batch128K+NS10+MuonWD0.15
a98e743	3.724073	1.115264	5.512034	16.3	keep	FULL: b128K+NS10+eLR0.6+x0+WD0.15
9835e21	3.720689	1.115351	5.497651	16.3	keep	FULL+coupledWD
4e0cf2a	3.731237	1.119975	5.501163	16.3	keep	batch128K+NS15
0a0bb58	3.738496	1.121084	5.520977	16.3	keep	batch128K+NS20
6be5d8a	3.731736	1.119961	5.503046	16.3	keep	batch128K+NS10+MuonLR0.04
fc73bb7	3.747142	1.121230	5.554276	16.3	keep	batch128K+NS10+MuonLR0.05
d312db5	4.017775	1.139463	5.388305	16.3	keep	audio_ratio=0.4
acdbcbd	3.587005	1.110758	5.627437	16.3	keep	audio_ratio=0.2
f9258eb	4.289562	1.161857	5.321429	16.3	keep	audio_ratio=0.5
e1b0186	3.769481	1.128026	5.586327	16.3	keep	depth=10 AR=52
0ebbe57	3.809474	1.137823	5.663955	16.3	keep	depth=12 AR=44
65682fd	3.809443	1.137254	5.668565	16.3	keep	depth=16 AR=32
5f04f5e	3.776582	1.132181	5.579223	16.3	keep	depth=6 AR=80
5ae05e0	3.720059	1.115878	5.490923	16.3	keep	window=SSLL
67c4d09	3.722353	1.115328	5.504758	16.3	keep	window=SLSL
5ee666b	3.710018	1.110416	5.496786	16.3	keep	window=LLLL (all full attention)
e0e8330	3.738441	1.122601	5.507857	16.3	keep	scalar_lr=1.0
f2f1607	3.731429	1.117451	5.523063	16.3	keep	scalar_lr=0.2
9046943	3.398690	1.089343	5.802649	16.3	keep	audio_ratio=0.15
89a3996	3.232356	1.083323	6.132604	16.3	keep	audio_ratio=0.10
e3a23ed	3.701395	1.107672	5.485291	16.3	keep	audio_ratio=0.25
6fb73b6	3.551389	1.099907	5.569568	16.3	keep	ratio0.2 + embedWD=0.1
bd52b63	3.541611	1.097736	5.543856	16.3	keep	ratio0.2+MuonWD=0.1
cd23923	3.556107	1.104018	5.544729	16.3	keep	ratio0.2+MuonWD=0.2
764b633	3.548597	1.101346	5.537334	16.3	keep	ratio0.2+embedLR=0.6
04ef4b2	3.552736	1.102275	5.548232	16.3	keep	ratio0.2+embedLR=1.0
4405aa0	3.560664	1.103510	5.575043	16.3	keep	ratio0.2+warmdown=0.6
ff546e4	3.545051	1.100495	5.528677	16.3	keep	ratio0.2+warmdown=0.8
31408f5	3.223432	1.079952	6.131455	16.3	keep	audio_ratio=0.05
